,Nspecies,Nreacs,N,t,method
0,10,8,100,34,C++
1,20,16,100,44,C++
2,50,40,100,1208,C++
3,100,80,100,9323,C++
4,250,200,100,67113,C++
5,500,400,100,357569,C++
6,750,600,100,979181,C++
